match_no,date,season,competition,stage,home_or_away,home_team,away_team,win_or_loss,goals,assists,mins_played,abs_rating,shots,shots_on_target,key_passes,motm,final_remarks,Name,Team
m_273,2010-09-29,10/11,Champs League,Group,A,Rubin Kazan,Barcelona,draw,0,0,29,7.01,4.0,1.0,3.0,No,,Messi,Barcelona
m_272,2010-09-19,10/11,La Liga,,A,Atletico Madrid,Barcelona,win,1,1,90,9.27,4.0,2.0,3.0,Yes,"1 inside box goal, 1 left foot goal",Messi,Barcelona
m_271,2010-09-14,10/11,Champs League,Group,H,Barcelona,Panathinaikos,win,2,1,90,10.0,12.0,7.0,1.0,Yes,"2 inside box goal, 2 left foot goal, 1 pen missed",Messi,Barcelona
m_270,2010-09-11,10/11,La Liga,,H,Barcelona,Hercules,loss,0,0,90,7.37,3.0,3.0,2.0,No,,Messi,Barcelona
m_269,2010-09-07,10/11,International Friendly,,H,Argentina,Spain,win,1,0,88,,,,,,"1 inside box goal, 1 left foot goal",Messi,Argentina
m_268,2010-08-29,10/11,La Liga,,A,Racing Santander,Barcelona,win,1,0,90,8.03,4.0,2.0,0.0,No,"1 inside box goal, 1 right foot goal",Messi,Barcelona
m_267,2010-08-21,10/11,Supercopa de Espana,Final,H,Barcelona,Sevilla,win,3,0,90,,,,,,"3 inside box goal, 2 left foot goal, 1 right foot goal",Messi,Barcelona
m_266,2010-08-14,10/11,Supercopa de Espana,Final,A,Sevilla,Barcelona,loss,0,0,37,,,,,,,Messi,Barcelona
m_265,2010-08-11,10/11,International Friendly,,A,Republic of Ireland,Argentina,win,0,0,58,,,,,,,Messi,Argentina
m_264,2010-07-03,09/10,World Cup,QF,N,Argentina,Germany,loss,0,0,90,7.6,7.0,2.0,2.0,No,,Messi,Argentina
m_263,2010-06-27,09/10,World Cup,R16,N,Argentina,Mexico,win,0,1,90,7.6,3.0,2.0,2.0,No,,Messi,Argentina
m_262,2010-06-22,09/10,World Cup,Group,N,Argentina,Greece,win,0,0,90,7.8,5.0,3.0,3.0,No,,Messi,Argentina
m_261,2010-06-17,09/10,World Cup,Group,N,Argentina,South Korea,win,0,0,90,7.7,6.0,1.0,3.0,No,,Messi,Argentina
m_260,2010-06-12,09/10,World Cup,Group,N,Argentina,Nigeria,win,0,0,90,9.1,8.0,4.0,6.0,Yes,,Messi,Argentina
m_259,2010-05-16,09/10,La Liga,,H,Barcelona,Real Valladolid,win,2,1,90,10.0,5.0,4.0,1.0,Yes,"2 inside box goal, 1 left foot goal, 1 right foot goal",Messi,Barcelona
m_258,2010-05-08,09/10,La Liga,,A,Sevilla,Barcelona,win,1,0,90,8.42,6.0,2.0,3.0,Yes,"1 inside box goal, 1 left foot goal",Messi,Barcelona
m_257,2010-05-04,09/10,La Liga,,H,Barcelona,Tenerife,win,2,0,90,10.0,4.0,2.0,3.0,Yes,"2 inside box goal, 2 right foot goal",Messi,Barcelona
m_256,2010-05-01,09/10,La Liga,,A,Villarreal,Barcelona,win,2,0,90,9.43,6.0,3.0,1.0,No,"2 inside box goal, 2 left foot goal",Messi,Barcelona
m_255,2010-04-28,09/10,Champs League,SF,H,Barcelona,Inter Milan,win,0,0,90,8.51,3.0,2.0,4.0,No,,Messi,Barcelona
m_254,2010-04-24,09/10,La Liga,,H,Barcelona,Xerez,win,0,0,38,6.83,3.0,2.0,1.0,No,,Messi,Barcelona
m_253,2010-04-20,09/10,Champs League,SF,A,Inter Milan,Barcelona,loss,0,0,90,6.94,2.0,2.0,1.0,No,,Messi,Barcelona
m_252,2010-04-17,09/10,La Liga,,A,Espanyol,Barcelona,draw,0,0,90,7.8,1.0,0.0,1.0,No,,Messi,Barcelona
m_251,2010-04-14,09/10,La Liga,,H,Barcelona,Deportivo La Coruna,win,0,0,90,8.57,6.0,2.0,2.0,No,,Messi,Barcelona
m_250,2010-04-10,09/10,La Liga,,A,Real Madrid,Barcelona,win,1,0,90,8.3,3.0,3.0,1.0,No,"1 inside box goal, 1 right foot goal",Messi,Barcelona
m_249,2010-04-06,09/10,Champs League,QF,H,Barcelona,Arsenal,win,4,0,90,10.0,8.0,6.0,2.0,Yes,"3 inside box goal, 1 outside box goal, 3 left foot goal, 1 right foot goal",Messi,Barcelona
m_248,2010-04-03,09/10,La Liga,,H,Barcelona,Athletic Bilbao,win,1,0,90,8.87,6.0,2.0,1.0,No,"1 inside box goal, 1 left foot goal",Messi,Barcelona
m_247,2010-03-31,09/10,Champs League,QF,A,Arsenal,Barcelona,draw,0,0,87,7.49,7.0,3.0,0.0,No,,Messi,Barcelona
m_246,2010-03-27,09/10,La Liga,,A,Mallorca,Barcelona,win,0,0,39,6.64,2.0,1.0,0.0,No,,Messi,Barcelona
m_245,2010-03-24,09/10,La Liga,,H,Barcelona,Osasuna,win,0,0,90,7.99,5.0,0.0,2.0,No,,Messi,Barcelona
m_244,2010-03-21,09/10,La Liga,,A,Real Zaragoza,Barcelona,win,3,0,90,10.0,8.0,4.0,2.0,Yes,"2 inside box goal, 1 outside box goal, 2 left foot goal, 1 header goal",Messi,Barcelona
m_243,2010-03-17,09/10,Champs League,R16,H,Barcelona,VfB Stuttgart,win,2,0,90,10.0,6.0,4.0,3.0,Yes,"2 outside box goal, 2 left foot goal",Messi,Barcelona
m_242,2010-03-14,09/10,La Liga,,H,Barcelona,Valencia,win,3,0,88,10.0,8.0,5.0,1.0,Yes,"3 inside box goal, 2 left foot goal, 1 right foot goal",Messi,Barcelona
m_241,2010-03-06,09/10,La Liga,,A,Almeria,Barcelona,draw,2,0,90,10.0,10.0,5.0,5.0,Yes,"1 free kick goal, 1 inside box goal, 2 left foot goal",Messi,Barcelona
m_240,2010-03-03,09/10,International Friendly,,A,Germany,Argentina,win,0,0,90,,,,,,,Messi,Argentina
m_239,2010-02-27,09/10,La Liga,,H,Barcelona,Malaga,win,1,0,90,9.39,7.0,3.0,4.0,Yes,"1 inside box goal, 1 right foot goal",Messi,Barcelona
m_238,2010-02-23,09/10,Champs League,R16,A,VfB Stuttgart,Barcelona,draw,0,0,90,,3.0,,1.0,No,,Messi,Barcelona
m_237,2010-02-20,09/10,La Liga,,H,Barcelona,Racing Santander,win,0,1,90,8.38,3.0,2.0,4.0,No,,Messi,Barcelona
m_236,2010-02-14,09/10,La Liga,,A,Atletico Madrid,Barcelona,loss,0,0,90,7.53,6.0,3.0,1.0,No,,Messi,Barcelona
m_235,2010-02-06,09/10,La Liga,,H,Barcelona,Getafe,win,1,1,90,9.86,8.0,5.0,3.0,Yes,"1 outside box goal, 1 left foot goal",Messi,Barcelona
m_234,2010-01-30,09/10,La Liga,,A,Sporting Gijon,Barcelona,win,0,0,90,7.75,4.0,0.0,2.0,No,,Messi,Barcelona
m_233,2010-01-23,09/10,La Liga,,A,Real Valladolid,Barcelona,win,1,1,90,8.67,3.0,2.0,2.0,No,"1 inside box goal, 1 left foot goal",Messi,Barcelona
m_232,2010-01-16,09/10,La Liga,,H,Barcelona,Sevilla,win,2,0,90,10.0,8.0,5.0,5.0,Yes,"2 inside box goal, 2 left foot goal",Messi,Barcelona
m_231,2010-01-13,09/10,Copa del Rey,R16,A,Sevilla,Barcelona,win,0,0,90,,,,,,,Messi,Barcelona
