match_no,date,season,competition,stage,home_or_away,home_team,away_team,win_or_loss,goals,assists,mins_played,abs_rating,shots,shots_on_target,key_passes,motm,final_remarks,Name,Team
r_509,2011-10-18,11/12,Champs League,Group,H,Real Madrid,Lyon,win,0,1,90,8.54,10.0,1.0,4.0,No,,Ronaldo,Real Madrid
r_508,2011-10-15,11/12,La Liga,,H,Real Madrid,Real Betis,win,0,2,78,7.63,4.0,1.0,4.0,No,,Ronaldo,Real Madrid
r_507,2011-10-11,11/12,Euros Qualifier,,A,Denmark,Portugal,loss,1,0,90,,,,,,"1 free kick goal, 1 right foot goal",Ronaldo,Portugal
r_506,2011-10-07,11/12,Euros Qualifier,,H,Portugal,Iceland,win,0,0,90,,,,,,,Ronaldo,Portugal
r_505,2011-10-02,11/12,La Liga,,A,Espanyol,Real Madrid,win,0,2,90,8.66,7.0,2.0,4.0,No,,Ronaldo,Real Madrid
r_504,2011-09-27,11/12,Champs League,Group,H,Real Madrid,Ajax,win,1,1,90,7.94,3.0,2.0,2.0,No,"1 inside box goal, 1 right foot goal",Ronaldo,Real Madrid
r_503,2011-09-24,11/12,La Liga,,H,Real Madrid,Rayo Vallecano,win,3,0,90,9.79,6.0,3.0,2.0,Yes,"2 pen goal, 1 inside box goal, 1 left foot goal, 2 right foot goal",Ronaldo,Real Madrid
r_502,2011-09-21,11/12,La Liga,,A,Racing Santander,Real Madrid,draw,0,0,90,6.96,5.0,0.0,1.0,No,,Ronaldo,Real Madrid
r_501,2011-09-18,11/12,La Liga,,A,Levante,Real Madrid,loss,0,0,45,5.95,5.0,1.0,0.0,No,,Ronaldo,Real Madrid
r_500,2011-09-14,11/12,Champs League,Group,A,Dinamo Zagreb,Real Madrid,win,0,0,90,7.85,8.0,4.0,2.0,No,,Ronaldo,Real Madrid
r_499,2011-09-10,11/12,La Liga,,H,Real Madrid,Getafe,win,1,1,90,8.99,9.0,4.0,2.0,No,"1 pen goal, 1 right foot goal",Ronaldo,Real Madrid
